ASV,mean,region,LDA,pvalue,species
ASV4634_Rikenellaceae_RC9,2.778994218,Laikipia,2.361840259,0.014193666,Zebra
ASV11724_Ruminococcaceae,2.66313781,Laikipia,2.354598883,0.011262412,Zebra
ASV16061_Kiritimatiellae_WCHB1_41,2.714868737,Laikipia,2.354509106,0.002519586,Zebra
ASV9416_Lachnospiraceae,2.798504331,Laikipia,2.351930918,0.030158923,Zebra
ASV13987_Ruminococcaceae_UCG_010,2.74633307,Laikipia,2.346005698,0.000734441,Zebra
ASV12059_Ruminococcaceae,2.628169909,Masai_Mara,2.335524154,0.039224651,Zebra
ASV5745_Methanomethylophilaceae,2.696527262,Laikipia,2.33351781,0.003991717,Zebra
ASV13985_Ruminococcaceae_UCG_010,2.758805422,Laikipia,2.328091359,0.014193666,Zebra
ASV4705_Rikenellaceae_RC9,2.607559164,Laikipia,2.319023132,0.002411743,Zebra
ASV9051_Lachnospiraceae_UCG_008,2.847025584,Laikipia,2.314815689,0.011622406,Zebra
ASV9090_Lachnospiraceae_XPB1014_,2.653595414,Masai_Mara,2.31063592,0.046511124,Zebra
ASV2615_Bacteroidales_p_251_o5,2.567220554,Laikipia,2.30896305,0.022676447,Zebra
ASV3551_Prevotellaceae,2.577252559,Laikipia,2.303143289,0.002189935,Zebra
ASV16081_Kiritimatiellae_WCHB1_41,2.654235297,Laikipia,2.302990263,0.001983221,Zebra
ASV8007_Erysipelotrichaceae_UCG_004,2.585513659,Laikipia,2.3015575,0.001557073,Zebra
ASV17384_Desulfovibrio,2.174883791,Laikipia,2.301196677,0.007632905,Zebra
ASV2497_Bacteroidales_F082,2.595049394,Laikipia,2.299995179,0.002465301,Zebra
ASV16095_Kiritimatiellae_WCHB1_41,2.644050102,Laikipia,2.295232839,0.022899072,Zebra
ASV4567_Rikenellaceae_RC9,2.78220259,Laikipia,2.293204697,0.039224651,Zebra
ASV8004_Erysipelotrichaceae_UCG_004,2.653906726,Laikipia,2.290909801,0.014172641,Zebra
ASV8515_Eubacterium,2.574020536,Masai_Mara,2.290328432,0.047816926,Zebra
ASV14048_Ruminococcaceae_UCG_010,2.649989639,Laikipia,2.289452556,0.041881169,Zebra
ASV4849_Rikenellaceae_RC9,2.596278912,Masai_Mara,2.282193267,0.028172074,Zebra
ASV16844_Victivallales,2.606249303,Laikipia,2.281505027,0.021898336,Zebra
ASV10204_Lachnospiraceae,2.512734573,Masai_Mara,2.276435499,0.031644807,Zebra
ASV18504_Mollicutes,2.633268992,Laikipia,2.275697148,0.037779435,Zebra
ASV8014_Erysipelotrichaceae_UCG_004,2.513119442,Laikipia,2.272548557,0.000726631,Zebra
ASV14152_Ruminococcaceae_UCG_010,2.571417621,Laikipia,2.271266143,0.000732483,Zebra
ASV16652_Oligosphaeraceae_horsej_a03,2.644366511,Laikipia,2.24725434,0.003991717,Zebra
ASV8514_Eubacterium,2.521391209,Masai_Mara,2.230627946,0.049610623,Zebra
ASV4738_Rikenellaceae_RC9,2.499015463,Laikipia,2.223517689,0.003771557,Zebra
ASV2932_Bacteroidia,2.513785731,Laikipia,2.219508288,0.033121774,Zebra
ASV9824_Lachnospiraceae,2.603286747,Masai_Mara,2.218075284,0.041881169,Zebra
ASV15781_Veillonellaceae,2.634571266,Masai_Mara,2.217402262,0.046511124,Zebra
ASV8017_Erysipelotrichaceae_UCG_004,2.479518901,Laikipia,2.217259112,0.001898978,Zebra
ASV5750_Methanomethylophilaceae,2.541080041,Laikipia,2.216518686,0.004456602,Zebra
ASV4696_Rikenellaceae_RC9,2.60780468,Laikipia,2.216012484,0.012831704,Zebra
ASV9054_Lachnospiraceae_UCG_008,2.622711727,Laikipia,2.212635652,0.02502424,Zebra
ASV2502_Bacteroidales_F082,2.543562708,Laikipia,2.212421741,0.014109652,Zebra
ASV14093_Ruminococcaceae_UCG_010,2.619135436,Laikipia,2.212413346,0.036001098,Zebra
ASV4718_Rikenellaceae_RC9,2.56492752,Laikipia,2.210922173,0.029800994,Zebra
ASV13031_Ruminococcaceae_NK4A214,2.608743337,Masai_Mara,2.209806528,0.017230108,Zebra
ASV7947_Erysipelotrichaceae_UCG_004,2.44954103,Laikipia,2.207218877,0.001189947,Zebra
ASV16100_Kiritimatiellae_WCHB1_41,2.60083863,Laikipia,2.206656768,0.011622406,Zebra
ASV11776_Ruminococcaceae,2.572297826,Laikipia,2.206230995,0.046082909,Zebra
ASV4760_Rikenellaceae_RC9,2.466150186,Laikipia,2.202935583,0.001267214,Zebra
ASV12906_Papillibacter,2.566265172,Laikipia,2.202335475,0.02502424,Zebra
ASV14196_Ruminococcaceae_UCG_010,2.536802268,Laikipia,2.196626795,0.003556997,Zebra
ASV2506_Bacteroidales_F082,2.448154701,Laikipia,2.192404043,0.017649456,Zebra
