""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV18079|Treponema_2"	0.000200714543775842	0.000184340292179363	0.000220720099324045	0.000614481275390025	0	0.00024695423114916	0.000480392404743243	0.000491352201257862	0	0	0.000441969415716432	0.000515198351365276	0.000533817327710458	0	0	0	0	0	0.00040220767322861	0.00013905841998733	0	0.0000737931136266364	0	0	0	0	0.000544226398181644	0	0.000132304299889746	0.0000464824412578149	0.000364525259456214	0.00019387359441644	0.000329758559385215	0.00013770880096947	0	0.000315711376659458	0.000288994139841053	0	0.000953449242849131	0.000371678126742241
"ASV17976|Treponema_2"	0.00730600939344065	0.00359463569749758	0.00485584218512898	0.0065544669374936	0.024560481280299	0.00208539128525958	0.000733230512502844	0.0126768867924528	0	0.000430995372470738	0.00394826011373346	0.00264039155074704	0.0114503816793893	0.000269404615799084	0.000303158915903717	0.000371799042617465	0.000188501413760603	0.000330824580266314	0.000357517931758765	0.000123607484433182	0.000766934180613	0.0000885517363519636	0.000356572825754746	0	0.000451690926840641	0.000803240902423692	0.000352146492941063	0.00060652845169828	0.00223447262036016	0.000302135868175797	0.00150098636246676	0.000420059454568954	0.000258071916040603	0.000784940165525979	0.000738213523273678	0.000268354670160539	0.0012683631693024	0.00181625276484022	0.000635632828566087	0.00319305299792198
"ASV18016|Treponema_2"	0.00024085745253101	0.000138255219134522	0.000110360049662022	0	0.000525670229542667	0	0	0.0000327568134171908	0	0	0	0.000794264125021467	0.0012811615865051	0.0000598676923997964	0.000515370157036318	0.000116187200817958	0.000596921143575244	0.0000275687150221928	0.00055862176837307	0.000834350519923981	0.000150647785477553	0.00228758652242573	0.00112065745237206	0.00996136064145802	0.000378837551543763	0.00169379059858909	0.00144059928930435	0.000220555800617556	0.00285189268651231	0	0.000643279869628613	0.0020679850071087	0.00629408728565694	0.00136331712959775	0.00113724786017837	0.000284140238993512	0.0014289154692141	0.00302109370785305	0.00123387549074593	0.00143602912604957
"ASV18194|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000136952532252321	0	0	0.00413195452616532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV18025|Treponema_2"	0	0	0.000193130086908539	0	0	0	0	0	0	0	0	0.00115919629057187	0	0	0	0	0.0000314169022934339	0.000716786590577013	0.00118427814895091	0.0129942368010383	0.000356076583856035	0.0011364139498502	0.00631643291336978	0.0355348089250218	0.000480832276959392	0.000733393867430328	0.000704292985882127	0.000680047051904132	0.00135244395442852	0	0	0	0.00375638011125767	0.000881336326204608	0.0000598551505357036	0	0.0000481656899735089	0.000413602114765596	0.000149560665544962	0.00082782855501681
"ASV18072|Treponema_2"	0	0.0000921701460896816	0	0	0.000116815606565037	0	0	0	0	0	0	0	0	0	0.000272843024313345	0.000116187200817958	0.0000314169022934339	0.000330824580266314	0	0.00678296070827089	0.000219124051603714	0.000501793172661127	0.000288654192277651	0.00261318205168293	0.000029141350118751	0.0000873087937417057	0	0.000220555800617556	0	0.0000464824412578149	0.000686165194270521	0	0	0.000055083520387788	0.0000798068673809381	0.000173641257162702	0.000369270289796901	0.000323688611555683	0.000560852495793606	0.00033788920612931
"ASV18133|Treponema_2"	0	0	0	0	0	0	0.0000505676215519203	0.000229297693920335	0	0	0	0	0.000640580793252549	0	0	0	0	0	0	0.0000463528066624434	0.0000273905064504643	0	0.000084898291846368	0.0000446697786612467	0	0	0	0.0000551389501543891	0	0	0	0	0.00500372770545392	0.000082625280581682	0	0.000426210358490268	0.000545877819699767	0	0	0
"ASV17980|Treponema_2"	0.00128457308016539	0.000737361168717452	0.00518692233411505	0.000853446215819479	0.000204427311488815	0.002057951926243	0.00179515056509317	0.00042583857442348	0	0.0000226839669721441	0.00259288723886974	0.000150266185814872	0.000613889926867026	0.000449007692998473	0.0011823197720245	0.0011153971278524	0.000282752120640905	0.0000827061450665785	0.000134069224409537	0.0000463528066624434	0.0000273905064504643	0.0000590344909013091	0.000169796583692736	0.0000893395573224935	0.0000145706750593755	0.000122232311238388	0.000224093222780677	0.00106601970298486	0.000367511944138185	0.000232412206289074	0.000235869285530491	0.0000323122657360734	0.000401445202729827	0.000220334081551152	0.000119710301071407	0.000142070119496756	0.0000642209199646785	0.000629394522469384	0.000168255748738082	0.000641989491645689
"ASV18008|Treponema_2"	0.00594115049576492	0.00142863726439006	0.00132432059594427	0.00174103028027174	0.000759301442672741	0.00208539128525958	0.0072311698819246	0.00127751572327044	0	0.000635151075220034	0.00462594655116533	0.0000214665979735532	0.00117439812096301	0.00143682461759511	0.00172800582065119	0.00130129664916113	0.00210493245366007	0.00121302346097648	0.000782070475722298	0.000834350519923981	0.00057520063545975	0.000546069040837109	0.000662206676401671	0.00020101400397561	0.000553685652256269	0.000506391003701893	0.000224093222780677	0.000863843552418762	0.000588019110621095	0.000255653426917982	0.000450295908740029	0.000420059454568954	0.00071686643344612	0.000220334081551152	0.000319227469523753	0.0011049898183081	0.00085092718953199	0.000467550216691543	0.00248644606468499	0.00118261222145259
"ASV17999|Treponema_2"	0.00642286540082694	0.00179731784874879	0.00320044144019865	0.000751032669921142	0.000175223409847556	0.00230490615739216	0.00409597734570554	0.00170335429769392	0	0.00011341983486072	0.00492059282830961	0.000429331959471063	0.00320290396626274	0.00083814769359715	0.000697265506578549	0.000557698563926198	0.000848256361922714	0.00237090949190858	0	0.000123607484433182	0.000150647785477553	0.000191862095429255	0.000713145651509492	0.0000670046679918701	0.000276842826128135	0.000227002863728435	0.000160066587700483	0.000128657550360241	0.000485115766262404	0.000418341971320334	0.00017154129856763	0	0.000673854447439353	0.000192792321357258	0.000259372318988049	0.000520923771488106	0.000272938909849884	0.000431584815407578	0.000560852495793606	0.00126708452298491
"ASV17995|Treponema_2"	0.00995544137128176	0.00456242223143924	0.00504897227203752	0.0104461816816304	0.00271596285263711	0.00386894962133685	0.00690248034183712	0.00933569182389937	0	0.00011341983486072	0.00265181649429859	0.00208226000343466	0.0109966369508354	0.00302331846618972	0.00415327714788092	0.00392712738764698	0.00235626767200754	0.00245361563697516	0.00125131276115568	0.00126697671544012	0.0014927826015503	0.000531310418111782	0.00117159642747988	0.000223348893306234	0.00193789978289694	0.00179856115107914	0.00230495886288696	0.00235259520658727	0.00383682469680265	0.00158040300276571	0.00180118363496012	0.00164792555253974	0.00110397430750703	0.00170758913202143	0.00121705472755931	0.0013417733508027	0.000722485349602633	0.00230178568217375	0.00239297064871939	0.00353094220405129
"ASV18028|Treponema_2"	0.000923286901368873	0.000553020876538089	0.000551800248310112	0.00153620318847506	0.000116815606565037	0.000109757436066293	0.000733230512502844	0.000131027253668763	0	0.0000453679339442882	0.000648221809717434	0.000429331959471063	0.000266908663855229	0	0.000272843024313345	0.000162662081145141	0.000188501413760603	0.0000275687150221928	0.00040220767322861	0.0000927056133248868	0.00045194335643266	0.000118068981802618	0.000118857608584915	0.0000223348893306234	0.000058282700237502	0.0000523852762450234	0.0000640266350801934	0.000036759300102926	0.0000147004777655274	0.000302135868175797	0.000128655973925723	0	0.000215059930033836	0	0.000119710301071407	0.000410424789657295	0.0000963313799470177	0.0000359654012839648	0.00091605907646289	0.000388572587048707
"ASV18033|Treponema_2"	0	0.000460850730448408	0.000110360049662022	0	0.00151860288534548	0.0016463615409944	0	0.000949947589098532	0	0.000181471735777153	0.0000589292554288577	0.00160999484801649	0.00157476111674585	0	0	0	0	0.000716786590577013	0	0.0000927056133248868	0	0.000147586227253273	0	0.000156344225314364	0	0	0	0	0	0.000209170985660167	0	0	0.000129035958020302	0	0.000259372318988049	0	0.0000481656899735089	0	0	0
"ASV18112|Treponema_2"	0.000361286178796516	0.000230425365224204	0.000662160297972134	0.0000682756972655583	0.000146019508206296	0	0.00176986675431721	0.00386530398322851	0	0.0000680519009164323	0.00167948377972244	0.000214665979735532	0.00354988522927454	0.000149669230999491	0.000090947674771115	0.0000697123204907747	0	0.0000275687150221928	0	0.000077254677770739	0	0	0	0.0000223348893306234	0	0	0	0	0.000117603822124219	0.0000929648825156297	0	0	0	0.000013770880096947	0.000179565451607111	0.0000631422753318916	0.0000642209199646785	0.000125878904493877	0.0000373901663862404	0.000523728269500431
"ASV18068|Treponema_2"	0.000722572357593031	0.000368680584358726	0.000551800248310112	0.000204827091796675	0.000233631213130074	0.000109757436066293	0.000202270486207681	0.0000982704402515723	0	0.000158787768805009	0.0000589292554288577	0.0000214665979735532	0.000106763465542091	0.000568743077798066	0.000454738373855575	0.000534461123762606	0.000722588752748979	0.000441099440355085	0.000245793578084151	0.000432626195516139	0.000588895888684982	0.000664138022639727	0.000322613509016199	0	0.000947093878859408	0.000820702661172033	0.000224093222780677	0.00216879870607264	0.000117603822124219	0.000325377088804704	0.000192983960888584	0	0.000802890405459655	0.00100527424707713	0.000279324035833283	0.000505138202655133	0.000465601669743919	0.00052149831861749	0.00119648532435969	0.0014191346657431
"ASV16665|Oligosphaeraceae"	0.000120428726265505	0.000368680584358726	0.000110360049662022	0	0	0.00032927230819888	0.000328689540087482	0.000163784067085954	0	0	0.00050089867114529	0.0000858663918942126	0.000507126461324935	0	0	0	0	0	0.000491587156168302	0.000710743035490799	0.000958667725766249	0.000442758681759818	0	0	0.000276842826128135	0.000139694069986729	0.000448186445561354	0.000496250551389501	0.000735023888276369	0.000557789295093778	0.000943477142121966	0.0000646245314721468	0.000630842461432586	0.000454439043199251	0.00101753755910696	0.00115234652480702	0.00113992132937304	0.00115089284108687	0.00250514114787811	0.000236522444290517
