Group,sample_date,sample_month,sample_year,species,species_short,tax_name,Order,Family,Genus,broad_diet,digestive_system,fermenter,diet_guild,region
ELE105,29-Oct-14,october,2014,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE109,31-Oct-14,october,2014,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE201,1-Mar-15,march,2015,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE202,3-Mar-15,march,2015,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE203,3-Mar-15,march,2015,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE204,4-Mar-15,march,2015,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE205,7-Mar-15,march,2015,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE209,7-Mar-15,march,2015,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0001,14-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0002,14-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0021,15-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0023,15-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0024,15-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0032,16-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0054,18-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0101,19-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0102,19-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0260,29-Jul-16,july,2016,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
GIR101,26-Oct-14,october,2014,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR102,26-Oct-14,october,2014,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR103,26-Oct-14,october,2014,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR104,27-Oct-14,october,2014,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR105,27-Oct-14,october,2014,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR109,31-Oct-14,october,2014,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
