region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV17311.Parasutterella	0	0	0	0.008518888	0	0	0	0	0	0	2.55565E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5706.Methanomethylophilus_Can	4.55249E-05	4.69969E-05	0.000297855	0	0.000239511	9.23692E-05	0.000204918	0.000346734	0.001110695	0.000218762	0.001150042	6.90524E-05	0.000140964	0.00058223	0.00046219	0.000536788	0.001092558	0	0.000288203	7.1048E-05	0	4.58141E-05	0.000268557	0
ASV1942.Bacteroidales	0	0	0	0.004856746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV17997.Treponema_2	0.003915142	0.005616129	0.003400516	0	0.006728068	0.007574271	0.01171649	0.024714426	0.006422716	0.006324205	0.003807917	0.004764618	0.007020017	0.004075607	0.003081268	0.00604781	0.007833436	0.001797822	0.01372166	0.005257549	0.00763274	0.011957484	0.006460276	0.008803591
ASV5622.Methanobrevibacter	6.82874E-05	0	0	0	0.000674984	0.000935238	8.4378E-05	5.7789E-05	0	0	0	0.000448841	0.000281928	0	0	5.36788E-05	0	0	0	0	0	0.000412327	0.000223797	1.33186E-05
ASV2786.Bacteroidales_UCG.001	0.007670946	0.011490742	0.000992851	0	0.003462016	0.006673671	0.005339923	0.003332499	0.002692229	0.003003003	0.00102226	0.008079134	0.005272061	0.006674846	0.005597638	0.015370026	0.024469182	0.007824807	0.003986807	0.005204263	0.010901647	0.009437708	0.006669153	0.015636029
ASV15516.Ruminococcus_1	0	0.000422972	0.000595711	0	0.000348379	0.000196284	8.4378E-05	5.7789E-05	0.00043462	3.97749E-05	0	8.63155E-05	8.45785E-05	0.000228733	2.56772E-05	5.36788E-05	4.12286E-05	0	8.00564E-05	1.7762E-05	0.000142816	0	0	7.99116E-05
ASV13154.Ruminococcaceae_UCG.002	0.0001821	0.000375975	0.000248213	0	0.000108868	0.000173192	0.000253134	1.9263E-05	0.000144873	0.000159099	0.000102226	0.000586946	0.000620242	2.07939E-05	7.70317E-05	0.000501002	4.12286E-05	5.13663E-05	0.000224158	0.000213144	0.000428449	0.000198528	0.000104439	0.000106549
ASV11252.Peptococcaceae	0	0	0	0.002487124	0	0	0	0	1.20728E-05	1.98874E-05	0	0	0	0	2.56772E-05	0	0	0	0	0	1.58685E-05	0	0	0
ASV2852.Bacteroidia	0	0	0	0.008323052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV11313.Solibacillus	0	0	0	0	0	0	0.008269045	7.7052E-05	0.00482911	5.96623E-05	0	1.72631E-05	0	0	0	0	0	0	1.60113E-05	0	0	0	0	0
