region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV9137.Lachnospiraceae	0.022123667	0.003894408	0.007638416	0.002530603	0.002895385	0.003000088	0.001924616	0.002437305	0.010831056	0.005171625	0.003562991	0.000724113	0.004659311	0.002672754	0.004337312	0.001860237	0.001084095	0.001493958	0.000387139	0.000707599	0.000334854	0.000539536	0.002055931	0.00020069	0.000486587	0.001483038	0.000386425	0.003968664	0.004155423	0.001300961	0.00086219	0.003812714	0.000478611	0.000314739	0.000827267	0.000357087	0.000163199	0.000754481	0.000799802	0.004114475	0.001701303	0.000939427	0.0008583	0.000243021	0.000680217	0.005141317	0.002370005
ASV19392.Cerasicoccus	0.000717801	0.000186558	0.001313613	0.007532957	0.001828664	0.0055884	0.001676893	0.000205556	0	6.86499E-05	0.000658379	0	0.00033547	0.000156073	0.000288415	4.89536E-05	0.009203743	0.000935776	0.0188883	0.022098846	0.030471726	0.03351118	0.01548141	0.012121699	0.01530396	0.013053822	0.003578629	0.004765347	0.003675314	0.001073293	0.012458642	0	0.000478611	0.011141746	0.004398301	0.011721782	0.009873521	0.022577477	0.002602993	0.004732348	0.008851082	0.005132813	0.029489879	0.004536396	0.015175318	0.029871879	0.02294165
ASV19333.Akkermansia	0	0	0	0.037193974	2.53981E-05	0	0	0	0	0	0	0	0	0.002926372	0	0	0	0	0	0	0	0	0	0	0	0	3.36022E-05	0	0	0	0	1.59528E-05	0.001116758	0	0	0	0	0	0	0	5.38387E-05	0	0	1.62014E-05	4.85869E-05	0	1.185E-05
ASV1935.Bacteroidales	0.007075472	0.005246957	0.006081541	0.000882768	0.003682727	0.000470602	0.004954457	0.002760322	0.001720822	0.005354691	0.00782309	0.00153874	0.005330252	0.00068282	0.003771576	0.001199364	0.001747826	0.006813107	0.019968214	0.010913346	0.004520531	0.001168995	0.010106264	0.003572289	0.003311934	0.006828153	0.037365591	0.008025848	0.014552257	0.017611761	0.001767489	1.59528E-05	0.001640951	0.006697637	0.021729539	0.003151685	0.003059976	0.001252723	0.002951997	0.002892771	0	0.000231453	0.003676113	0.004455389	0.001020326	2.74937E-05	9.48002E-05
ASV1936.Bacteroidales	0.01386895	0	0.075727352	0	0.051786757	0.076678726	0.018064713	0.005491279	0.074197793	0.001258581	0	0	0.079841956	0	0.046789724	0.017770163	0.023982831	0.028631468	0.011002893	0.025963423	0	2.99742E-05	0.011443858	0	0	0	0.003780242	0.005045662	0.00687052	0.024425544	0.008093806	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23913E-05	0	0
ASV13222.Ruminococcaceae_UCG.005	2.56358E-05	2.33198E-05	0.000413545	0.006915019	0.000203185	0.000323539	0.000895613	0.000176191	0.000480818	0.000320366	0	0.011259957	0.000447294	0.005833236	0.000399343	4.89536E-05	4.42488E-05	0.000197006	4.07515E-05	0.001197474	0.001632414	0.004675979	0.000421094	6.02071E-05	0	0.000633381	0.000604839	0.00308346	0.002715097	3.2524E-05	0.000344876	0.000143575	0.002484217	0.001573693	0.001199537	0	0	0.000982248	0.000988846	2.80852E-05	0.004608593	0.002545984	6.47773E-05	0.001409523	0.001441412	0.003986583	0.002073755
ASV13449.Ruminococcaceae_UCG.010	0	0.000396437	0.000583828	0.001383004	0.001676276	0.00167652	0.001048058	0.003171434	0.00053143	0.000938215	0.001006932	0.001158581	0.000559117	0.000663311	0.000266229	0.001370701	0.001747826	0.003398345	0.00195607	0.002966471	0.000711565	0.00056951	0.003121052	4.01381E-05	0	0.000308966	0.000537634	0.001313052	0.000579441	0.000991983	0.002608124	0.002616256	0.001868861	0.004846974	0.001930289	0.003912436	0.00371277	0.000583655	0.00078526	1.40426E-05	0	0.007188662	3.23887E-05	0.002673234	0.000825978	0.000412405	0.002547756
ASV11430.Ruminococcaceae	0.004229902	0.010190756	0.007565437	0.003001412	0.010438625	0.010617959	0.012652921	0.028572268	0.011969835	0.012700229	0.008481469	0.001611151	0.009318622	0.000858403	0.012568221	0.006780076	0.004800991	0.014611242	0.007090753	0.006014587	0.005901804	0.004166417	0.004904511	0.004515533	0.008036541	0.011956992	0.006014785	0.006343961	0.008410178	0.009952352	0.003233212	0.002440775	0.00116234	0.003965706	0.005115266	0.007188325	0.005405957	0.006833032	0.00539503	0.0064315	0.011015398	0.007120587	0.003303644	0.004682209	0.006478257	0.001677114	0.004052709
ASV4363.Rikenellaceae_RC9	0	2.33198E-05	2.43262E-05	0.001794962	0.000203185	0.000441189	0.000666946	0	2.53062E-05	0	0	5.43085E-05	7.4549E-05	0.001443677	6.65572E-05	0.018626851	0.00429213	0.004892304	0.007355638	0.013417157	0.010506048	0.002877525	0.002675188	0.01459019	0.002197492	0.020067355	0.000840054	0	0	0.004081765	0.006919073	0	0.004079586	0.009341441	0.000110302	0.006443099	0.00622195	0.00015659	0.002588451	0.014843004	0.006783676	0.000326757	0.00582996	0	0.004243259	0	0.009954022
ASV5173.Gastranaerophilales	0	0.000139919	0	0.005326036	2.53981E-05	0.001441219	0	2.93651E-05	0	0	0.000116185	0.000941347	0	0.000643802	3.32786E-05	0	0	9.85028E-05	0.000346387	0.001578489	0.000585995	0	7.43108E-05	0	0	0	0.000100806	0.000162287	9.93328E-05	0.000634219	2.15547E-05	0	0.013264353	0	0.004081182	0	2.03998E-05	0.000654832	0.002966539	0.005251924	1.07677E-05	0.000136149	0.000744939	0.000518445	0.003255324	0	0
