"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"AN206",66191,61338,60995,60618,56085,47121
"AN208",71296,65312,65001,64492,60302,52478
"AN209",76322,70295,69911,69063,62924,50633
"AN21",63477,59825,59326,58794,55436,50287
"AN210",72737,66515,66160,65580,59855,51063
"AN22",53488,48093,47767,47122,44071,41925
"AN23",70000,65944,65047,64846,57563,44115
"AN24",66449,60642,60270,59279,54106,48464
"AN27",353,286,283,225,141,124
"AN31",55622,50204,50048,48666,45235,39407
"AN32",46864,43046,42905,41619,38487,34054
"AN34",58143,54239,53918,53357,50637,47668
"AN35",51725,47278,47073,46508,43713,39516
"AN37",62246,56783,56326,55643,50522,45927
"AN39",83895,75648,75194,74374,70192,66777
"AN4",60485,55874,55650,54571,50110,43700
"AN40",50161,45818,45621,44365,41521,38881
"AN42",54541,49360,48987,48043,42406,36281
"AN44",222,186,185,122,57,43
"AN45",399,311,308,231,147,124
"AN46",48898,44232,43928,43050,39803,38037
"AN47",66030,60008,59705,58340,53165,47059
"AN48",49925,45436,45176,43642,38975,33948
"AN49",27155,25328,25230,24905,23245,20089
"AN51",38068,35382,35253,34866,32655,28164
"AN52",32429,30611,30522,30164,28438,25821
"AN53",35921,33190,32997,32710,30169,26969
"AN54",38649,36156,35909,35545,33375,31467
"AN56",33851,31443,31300,30771,28463,25783
"AN57",42576,38988,38850,38030,34879,30015
"AN6",50941,46685,46433,45168,42158,39620
"AN61",21892,19697,19559,19359,17972,16751
"AN62",54649,49643,49307,48455,45309,42471
"AN65",91554,83918,83511,82061,77898,74269
"AN67",92598,85435,83878,83749,72843,63037
"AN69",147836,136807,135612,134295,125165,115844
"AN7",81409,73705,73283,71585,64836,55240
"AN70",66955,60610,60336,59399,54689,46592
"AN71",114362,102668,102287,100751,93591,80821
"AN73",45924,42456,42203,41775,38108,34561
"AN75",33290,31365,31005,30718,28226,26143
"AN76",55623,51727,51489,50942,47018,41063
"AN77",87747,79987,79486,78809,71716,61548
"AN78",49573,45475,45288,44740,41770,37519
"AN8",67902,61389,60889,59328,52853,46655
"AN80",35659,32741,32570,32144,29980,26828
"AN81",47641,44459,44302,43883,41130,36620
"AN82",70909,64778,64414,63801,58275,51258
"AN85",121468,110757,110205,109082,102243,90148
"AN86",57539,52432,52030,51508,47753,45061
