region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13449.Ruminococcaceae_UCG.010	0.000679472	0.003568965	0.00560029	0.000300646	0.000654866	0.003000825	0.001341992	0.000778311	0.0049712	0.001825089	0.001167305	0.000701247	0.003036488	0.004402784	0.004764285	0.000952723	3.82512E-05	0.005421279	0.002662379	0.003812636	0.003378086	0.003129346	0.005683503	0.007715235	0.003034694	0.003230543	0.005892885	0.008854659	0.004068551	0.003452725	0.004662493	0.00489716	0.004550949	0.004677652	0.000916386	0.003944066	0.005815766
ASV11430.Ruminococcaceae	0.000574938	0.001049696	0.00078014	0.000651401	0.000694555	0.000975268	0.000670996	0.000799931	0.000862164	0.000403217	0.001167305	0.000488748	0.000398228	0.000745633	0.001332667	0.000767127	7.65023E-05	0.000361419	0	0.000343997	0.000375343	0.000104312	0.000296531	0.000329711	0.000306879	0.00016782	0.000592108	0.000564946	0.000642908	0.000380906	0.000440898	0.000617796	0.000402949	0.000393908	0.000346741	0.000527282	0.001325309
ASV4363.Rikenellaceae_RC9	0.002247485	0.001229643	0.000612967	0.001152478	0.000515955	0.000450124	0.001222172	0.000648593	0.000293503	0.000657881	0.000177633	8.49997E-05	0.000945791	0.000355063	0.000766284	0.000767127	0.000306009	0.000632482	2.63602E-05	0.000429997	0.000144363	0.000486787	0.002075714	7.91306E-05	0.000204586	4.19551E-05	9.86847E-05	0	0.000978755	0.000872397	2.20449E-05	0.000135614	9.48114E-05	0.000147715	0.000185754	0.000274186	0.000109143
ASV5173.Gastranaerophilales	0	0.001049696	0.000111449	0.000901939	0.000615177	0.002075571	0	0.000929649	0.000953883	0	0	0.000467498	0.001543133	0.001775316	0.000966184	0.001014588	0	0.000496951	0	0.003038642	0	0.00066064	0.002149847	0.00548639	0.002284545	0.003258513	0.004172952	0.002029193	0.00187115	0	0	0	0.010381853	0.008912159	0.002464335	0.007171029	0.00684483
ASV8706.Agathobacter	0.005148308	0.00299913	0.004179321	0.002906248	0.003552151	0.002175598	0.005751396	0.00086479	0.003008402	0.006451476	0.002410739	0.003017489	0.002688038	0.003621645	0.003831418	0.00597617	0.000114753	0.000813192	0.000896246	0.000917326	0.00285838	0.003164117	0.000939014	0.000131884	0.000579661	0.001426474	0.001113727	0.001787073	0.002849905	0.001720219	0.003108329	0.005077978	0.003389509	0.004743304	0.002934912	0.001518571	0.00333666
ASV13450.Ruminococcaceae_UCG.010	0.001228276	0.001799478	0.00156028	0.001002155	0.000436577	0.002650729	0.002660021	0.000367536	0.004384195	0.002546635	0.000837415	0.000254999	0.002339589	0.003479619	0.002365484	0.001274421	0.000114753	0.003794895	0.00572016	0.002952643	0.005716761	0.004554937	0.003162993	0.006541464	0.004671384	0.003440319	0.005808298	0.00394309	0.005575067	0.007962155	0.016676954	0.009613501	0.008414516	0.003134848	0.005708837	0.006559382	0.006891605
ASV1849.Bacteroides	0.00036587	0.013136191	0.000195035	0.002455279	0.003373551	0.001125309	0.004960579	0.01048558	0.001375793	0.000318329	0.000355267	0.004547483	0.001344019	0.001384746	0.002032317	0.002759184	0.000420763	0.000993901	0	0.003181975	0	0.000452017	0.005980034	0.001055075	0.000340977	1.3985E-05	0.00521619	0.004335094	0.000393421	3.68618E-05	0.001168379	0.0023205	0.001208846	0.001788997	0.001349812	0.001223293	0.003383435
ASV9138.Lachnospiraceae	0.000601071	0.000629817	0.00117021	0.000300646	0.000277822	0.000750206	0.000814781	0.000108099	0.00051363	0.000254664	0.000279138	0.000148749	0.000846234	0.000639114	0.000732967	0.00065577	0	0.000451773	0.000632644	0.000601995	0.000490833	0.000382476	0.000642483	0.000791306	0.000716051	0.000545416	0.00077538	0.000611064	0.00270597	0.000626651	0.000507032	0.000663	0.001232549	0.001116071	0.000569645	0.000485099	0.000374205
ASV4116.Alistipes	0	0.001829469	0.001671728	0.003357218	0.004226861	0.003225887	0.0012701	0.001578242	0.004182412	0.003013518	0.00126881	0.000679997	0.002688038	0.002449936	0.003131767	0.004677002	0.0016448	0.002439575	0	0.002149983	0.002021077	0.001564673	0.001655629	0.001965077	0.000579661	0.001440459	0.002664486	0.002928494	0.001928724	0	0.000771571	0.00016575	0.001848823	0.002314207	0.001325045	0.001223293	0.002915679
ASV5890.Bacillales	5.22671E-05	0.000509852	0.000529381	0.000551185	0.000813621	0.000250069	0.000503247	0.000302677	0.000220127	0.001803867	0.00073591	0.000913747	0	0	0.000133267	0.00028458	0.002256818	9.03546E-05	5.27204E-05	2.86664E-05	8.66176E-05	0	0	0	1.70488E-05	1.3985E-05	0.000112782	0.000518828	6.71695E-05	0.000491491	7.71571E-05	3.01364E-05	0	0	9.90688E-05	0.004956447	0
