region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV8706.Agathobacter	0.005256822	0.000506819	0.001572197	0.00167207	0.001751927	0.002030123	0.000353884	0.004552302	0	0.000408024	0.000765877	0.004335508	0.004051281	0.000239399	0.000302929	0.000371531	0.000659693	0.000358334	0.000290392	0.00030899	0.00023274	0.000236124	0.000645074	4.46518E-05	0.000218407	0.000226959	0.000128037	0.000790325	0.000646707	0.001347959	0.000707183	0.000936844	0.000200671	0.000509354	0.00019945	0.000331424	0.000176548	0.000215688	0.000373678	0.000304028
ASV13450.Ruminococcaceae_UCG.010	0.000321027	0.001382234	0.000193077	0.001262583	0.003387059	0.001289402	0.0015672	0.000360254	0	0	0.000942618	0.001137534	0.001279352	0.003620912	0.003786617	0.00359921	0.004680677	0.002260261	0.005294078	0.00466575	0.001738702	0.004073139	0.003615808	0.004375879	0.006057164	0.006494527	0.007426139	0.003345096	0.005937946	0.007483499	0.005378879	0.005944112	0.005719118	0.006896931	0.005943596	0.006817859	0.004863095	0.007890574	0.004334666	0.005472511
ASV1849.Bacteroides	0.005136437	0.00340951	0.004578679	0.002047432	0.002715487	0.001728348	0.004752155	0.000753259	1.98859E-05	0.000249348	0.004153411	0.00154533	0.000959514	0.00392016	0.004301596	0.004086845	0.003706845	0.002756416	0.006031228	0.001622198	0.010308996	0.005091424	0.003649759	0.001317229	0.004673918	0.003544056	0.002400691	0.005991766	0.001778444	0.001650088	0.000835762	0.001744468	0.002838059	0.002491706	0.001176752	0.002777646	0.001091388	0.001545762	0.000934195	0.002516679
ASV9138.Lachnospiraceae	0.001605136	0.000506819	0.001020549	0.001296707	0.00072997	0.000438945	0.0015672	0.001015262	0	0	0.001620125	0.000407795	0.000746289	0.000508723	0.000454394	0.000371531	0.000722521	0.000385898	0.000536109	0.000355339	0.00049286	0.000664099	0.001069464	0.000558148	0.001004674	0.00087292	0.000544157	0.000974121	0.001499184	0.000511295	0.000771473	0.00025844	0.000544678	0.000371691	0.000478679	0.000441898	0.000561744	0.000503271	0.00076604	0.001047209
ASV4116.Alistipes	0.002407705	0.003040914	0.004578679	0.001945061	0.003474655	0.001481441	0.002300245	0.003406039	0	0.000408024	0.001737952	0.002339457	0.002158906	0.002124667	0.001878162	0.001648671	0.001570697	0.001350644	0.002278464	0.002039334	0.002094657	0.002316967	0.002512392	0.001004666	0.001339565	0.00120463	0.001728498	0.001764446	0.001219924	0.000766942	0.001221498	0.000743014	0.000931686	0.001294035	0.001575651	0.000678629	0.001942028	0.00158171	0.001289189	0.001553923
ASV5890.Bacillales	0.000441413	0.000184298	0.000882637	0.000580106	0.000554777	0.00060355	0.000505548	0.000818759	0.060075169	0.019381163	0.000441852	0.000772665	0.001306005	0.001975043	0.00072703	0.003343783	0.000408381	5.51283E-05	0	0.000200844	0.000164287	0.000516521	0.000254634	0	5.8242E-05	3.49168E-05	0	0	1.46979E-05	0	0	0	0	4.1299E-05	3.98899E-05	1.57821E-05	8.02491E-05	1.7974E-05	1.86839E-05	0
ASV2674.Bacteroidales_RF16.	0.002929374	0.005851456	0.010260654	0.004265484	0.008438449	0.008477134	0.004297161	0.017095697	0	0.000136008	0.005537881	0.005794986	0.015725366	0.005057306	0.003847202	0.00422617	0.001633525	0.004961548	0.001809369	0.006705084	0.003833358	0.002154632	0.005024784	0.009935032	0.006756068	0.005551773	0.006817964	0.008307602	0.003512795	0.002091661	0.002571576	0.001712163	0.00225038	0.00393717	0.001834936	0.001183656	0.002038327	0.003181393	0.002073914	0.004780002
ASV11282.Romboutsia	0.002889246	0.004377073	0.004302855	0.004777342	0.0023943	0.003401827	0.002755239	0.001932272	0.00499135	0.005939023	0.004182868	0.002425309	0.003491564	0.002902714	0.00381691	0.003622431	0.001413627	0.001185259	0.004824983	0.001112364	0.003669072	0.003718953	0.00162966	0.001875377	0.001616215	0.001431589	0.000992286	0.001654169	0.005585196	0.000883146	0.0010072	0.000969149	0.000903019	0.00067455	0.000418844	0.001499298	0.000962989	0.001240204	0.001812339	0.003817245
ASV3864.Prevotellaceae_UCG.003	0	4.60745E-05	0	0	0	0	0	6.55008E-05	0	4.53361E-05	0	0	5.33063E-05	0	0	0	0.000659693	0.003059621	0	0	0	5.9031E-05	3.39512E-05	0	8.73629E-05	6.98336E-05	0	1.83797E-05	0	0	4.28596E-05	0	0	0	0	1.57821E-05	1.60498E-05	0	0	0
ASV7150.Clostridiales_vadinBB60.	0.000321027	0.000598968	0.000661978	0.000307115	0.000525578	0.001700914	0.000808877	0.000360254	0	0	0.000942618	0.000558036	0.000426451	0.001137146	0.001605525	0.00130036	0.001947664	0.001295515	0.0014743	0.001405905	0.001327985	0.001210136	0.001035513	0.001540488	0.001164839	0.001344297	0.004641337	0.001304955	0.00201361	0.002021939	0.002550146	0.002293652	0.002035375	0.00191352	0.00205433	0.001878068	0.002263024	0.001096412	0.001345241	0.001689047
