region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV5728.Methanomethylophilaceae	0.002741852	0.004317789	0.002253192	0.001614034	0.002052808	0.001671768	0.002396693	0.001608398	0.005995753	0.00861346	0.011103601	0.01402256	0.011320983	0.008441569	0.014777797	0.011509817	0.01519102	0.001620467	0.009511568	0.008313799	0.005015388	0.005251641	0.003034471	0.004473455	0.002352713	0.008028938	0.006684276	0.007857683	0.007459589	0.006280595
ASV1940.Bacteroidales	0.004474909	0.006699116	0.007573229	0.020532631	0.05048717	0.01296263	0.003931654	0.022602218	0.000388614	0.002629372	0.002703486	8.64827E-05	0.005599952	0.006915409	0.001565717	0	0.001701769	8.59339E-05	0.000157098	0.00396937	0.012880429	0.002322841	0.011046347	0.007019666	0.000691974	0	0	0.014531833	0.010341433	2.63891E-05
ASV17991.Treponema_2	0.001086394	0.007693515	0.002879079	0.010107558	0.012554853	0.006584193	0.013666537	0.007759813	0.002900723	0.008126119	0.016059992	0.022312549	0.011351253	0.015023131	0.001093857	0.008942144	0.002419947	0.006371382	0.003084833	0.000906392	0.004240283	0.001582225	0.001615474	0.001547421	0.000664296	0.003366299	0.004724878	0	0.00595344	0.005660452
ASV13225.Ruminococcaceae_UCG.005	0.00193999	0.004317789	0.001669031	0.001336209	0.001219784	0.001491731	0.002827559	0.003978668	0.001901431	0.004420065	0.003443726	0.001692591	0.003420511	0.002416419	0.003152883	0.004483847	0.007306677	0.000466498	0.004013139	0.006813565	0.002393708	0.005621949	0.002445041	0.003643474	0.000691974	0.002749493	0.004724878	0.001000512	0.002348169	0.000976395
ASV11150.Pseudobutyrivibrio	0.00558717	0.004579473	0.004026538	0.008916877	0.004046114	0.006481315	0.003325748	0.002088095	0.000111032	0.003196047	0.000965531	0.000284158	0.001907011	0.001383082	0.000171585	0.003461887	0.001295842	0.000441946	0.002899172	0.001875293	0.001550211	0.001817876	0.000261969	0.001139465	0.000608938	0.001014072	0.000632464	0.002586691	0.003652708	0.000646532
ASV17992.Treponema_2	0.004681842	0.000549537	0.001627305	0.004828873	0.000981778	0.001928963	0.001952362	0.00191879	0.001165841	0.003196047	0.005793183	0.00382995	9.081E-05	0.002448214	0.001008065	0.006629961	0	0.002123794	0.001542416	0.00140647	0.00139063	0.002861471	0.000982383	0.000661171	0.001397788	0.001244067	0.00109131	0.003269968	0.002277013	0.001161118
ASV5781.Fibrobacter	0.023926539	0.003035537	0.007322874	0.008004022	0.014250651	0.007047144	0.016722993	0.027286323	0.000277581	0.000249337	0.009944965	0.002087941	0.011684223	0.009077468	0.008943892	0.035525862	0.006057673	0.001350389	0.00716938	0.000875137	0.000706714	0.00346743	0.000807737	0.000590834	1.38395E-05	0	0	0	0	0
ASV7941.Erysipelotrichaceae_UCG.004	0.002302121	0.000968232	0.002044563	9.26085E-05	0.001368538	0.002108999	0.001440709	0.003583623	0.01164453	0.003332049	0.008657591	0.007721674	0.005660492	0.000794875	0.007099348	0.00150739	0.013582926	0.001694125	0.003099115	0.017033912	0.011900148	0.005386299	0.00270701	0.003713811	0.010518012	0.008813014	0.008829694	0.004575514	0	0.00670282
ASV17507.Acinetobacter	0	0.00115141	0	0	0	0	0	0	0	2.2667E-05	0	0	0	0	0	0	0	0.007193891	0	0	0	0	4.36614E-05	0	0	0	0	0	0	0
ASV17994.Treponema_2	0.00566477	0.001177579	0.003025119	0.002619498	0.003703979	0.003394974	0.004954961	0.00146731	0.005093614	0.00204003	0.001737955	0.006239112	0.00157404	0.002654881	0.000986616	0.003040329	0.000483989	0.003019961	0.002942017	0.002062822	0.001846575	0.002322841	0.002794333	0.001406747	0.002089763	0.002132687	0.00217022	0.001342151	0.009321521	0.000976395
ASV9144.Lachnospiraceae	0.012648733	0.004500968	0.02036218	0.004696575	0.009074005	0.002726267	0.013962757	0.007364768	0.000846623	0.003581386	0.0037012	0.010550895	0.006205352	0.002861549	0.003002745	0.004023965	0.002170146	0.001878269	0.002556412	0.00390686	0.006633991	0.002659485	0.005392189	0.004346847	0.009507729	0.002258139	0.002616665	0.002476878	0.017302926	0.002744462
ASV5706.Methanomethylophilus_Can	0.001448526	0.005364526	0.000813653	0.000251366	0.001844552	0.002366194	0.002275512	0.001947008	0.006856255	0.008636127	0.004441441	0.031603267	0	0	0.000364619	0	0.002216983	0.000662918	0.025549843	0.008720113	0.006633991	0.011782528	0.008710459	0.00672425	0.003819699	0.008854831	0.004303235	0	0	0.001649316
ASV5912.Christensenellaceae_R.7.	0.006233833	0.007431831	0.006342318	0.002143226	0.00425437	0.00308634	0.007553623	0.004571235	0.005607139	0.004000725	0.003669016	0.00768461	0.004843201	0.001891802	0.004182395	0.005608002	0.006853913	0.00082251	0.001842331	0.012220659	0.010805882	0.008618078	0.015477984	0.007075936	0.005784907	0.007067138	0.006981907	0.006503331	0.00594158	0.004644473
ASV2851.Bacteroidia	0.002871185	0.002721516	0.005424351	0.010477992	0.004938639	0.006455595	0.005278111	0.001947008	0.001360148	0.009599474	0.00148048	0.005905536	0.002179441	0.009459008	0.005383493	0.003410789	0.000967979	0.005315623	0.008626107	0.002437881	0.003465177	0.002491163	0.001004213	0.00322145	0.00352907	0.006743053	0.003621166	0.005100173	0.016970861	0.009829923
ASV2558.Bacteroidales_p.251.o5	0.002638386	0.003506568	0.005027956	0.007210235	0.005042767	0.011419459	0.003797008	0.013572618	0.004954824	0.005032074	0.004200058	0.011526915	0.004298341	0.020475971	0.009094029	0.002695418	0.008758645	0.001706401	0.002385033	0.002844194	0.002074547	0.002794142	0.002292226	0.002124188	0.003113885	0.005488532	0.004997706	0.005576027	0.005917862	0.002876407
ASV4382.Rikenellaceae_RC9	0.002741852	0.004972	0.002503547	0.002712107	0.005831164	0.004449474	0.00403937	0.005502413	0.008327435	0.003502051	0.003073606	0.013787821	0.004722121	0.003417961	0.012933253	0	0.002404334	0.001620467	0.001585261	0.004781997	0.001778183	0.002794142	0.007138647	0.009453338	0.002228158	0.003742656	0.003187123	0.016911101	0.007910248	0.003694468
